All Sites Combined. ADD ALL NEW DATA TO THE REGION-SPECIFIC TAB. Last Updated 7 July 2023,,,,,,,,,,
Sample & GPS Pt Name,Date,Fresh/Old,Species,Latitude,Longitude,Collector,Pic?,Entire Scat?,Date Entry/Initials,
YL 34,4 Nov 22,O,Coyote ,36.95018,-122.06438,SW,TRUE,FALSE,12 Nov. 22 / AGB,
YL 35,4 Nov 22,O,Coyote ,36.95017,-122.06432,SW,TRUE,TRUE,12 Nov. 22 / AGB,
YL 36,4 Nov 22,O(?),Coyote ,36.95102,-122.06329,KD,TRUE,FALSE,12 Nov. 22 / AGB,
YL 37,4 Nov 22,F,Coyote ,36.95134,-122.06356,KD,TRUE,TRUE,12 Nov. 22 / AGB,
YL 38,4 Nov 22,F,Bobcat,36.95133,-122.06346,KD,TRUE,TRUE,12 Nov. 22 / AGB,
YL 39,4 Nov 22,F,Coyote ,36.95140,-122.06342,KD,TRUE,TRUE,12 Nov. 22 / AGB,
YL 40,4 Nov 22,F(?),Coyote ,36.95142,-122.06349,KD,TRUE,TRUE,12 Nov. 22 / AGB,
YL 41,4 Nov 22,F,Coyote ,36.95147,-122.06324,KD,TRUE,TRUE,12 Nov. 22 / AGB,
YL 42,11 Nov 22,F,Coyote ,36.95007,-122.06360,SW,TRUE,TRUE,11 Jan 23 / SW,
YL 43,11 Nov 22,O,Bobcat (?),36.95178,-122.06353,SW,TRUE,FALSE,11 Jan 23 / SW,
YL 44,11 Nov 22,O,Coyote ,36.95184,-122.06352,SW,TRUE,TRUE,11 Jan 23 / SW,
YL 45,01 Dec 22,O,Coyote,36.95364,-122.06364,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 46,02 Dec 22,O,Unknown,36.95350,-122.06349,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 47,9 Dec 22,F,Unknown,36.95133,-122.06525,KD,TRUE,TRUE,11 Jan 23 / SW,
YL 48,9 Dec 22,F,Coyote,36.95138,-122.06521,KD,TRUE,TRUE,11 Jan 23 / SW,
YL 49,9 Dec 22,O,Coyote,36.95367,-122.06330,KD,TRUE,TRUE,11 Jan 23 / SW,
YL 50,9 Dec 22,O,Coyote,36.95380,-122.06338,KD,TRUE,TRUE,11 Jan 23 / SW,
YL 51,9 Dec 22,O,Coyote (?),36.95425,-122.06358,KD,FALSE,TRUE,11 Jan 23 / SW,
YL 52,9 Dec 22,O,Coyote,36.95475,-122.06397,KD,TRUE,TRUE,11 Jan 23 / SW,
YL 53,9 Dec 22,O,Coyote,36.95467,-122.06412,KD,TRUE,TRUE,11 Jan 23 / SW,
YL 54,9 Dec 22,O,Unknown,36.95606,-122.06386,KD,TRUE,FALSE,11 Jan 23 / SW,
YL 55,9 Dec 22,O,Bobcat,36.95608,-122.06388,KD,TRUE,FALSE,11 Jan 23 / SW,
YL 56,9 Dec 22,O,Bobcat,36.95625,-122.06381,KD,TRUE,FALSE,11 Jan 23 / SW,
YL 57,9 Dec 22,O,Coyote,36.95631,-122.06380,KD,TRUE,TRUE,11 Jan 23 / SW,
YL 58,9 Dec 22,O,Coyote,36.95634,-122.06380,KD,TRUE,TRUE,11 Jan 23 / SW,
YL 59,11 Dec 22,O,Coyote,36.95641,-122.06379,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 60,11 Dec 22,O,Coyote,36.95639,-122.06376,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 61,11 Dec 22,O,Coyote (?),36.95641,-122.06380,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 62,11 Dec 22,O,Coyote,36.95635,-122.06379,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 63,11 Dec 22,O,Coyote,36.95637,-122.06379,FG,FALSE,TRUE,11 Jan 23 / SW,
YL 64,11 Dec 22,O,Coyote,36.95653,-122.06385,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 65,11 Dec 22,O,Coyote,36.95654,-122.06385,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 66,11 Dec 22,O,Coyote,36.95655,-122.06385,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 67,11 Dec 22,O,Coyote,36.95653,-122.06391,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 68,11 Dec 22,O,Coyote,36.95666,-122.06403,FG,FALSE,TRUE,11 Jan 23 / SW,
YL 69,11 Dec 22,O,Coyote,36.95673,-122.06406,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 70,11 Dec 22,O,Coyote,36.95674,-122.06407,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 71,11 Dec 22,O,Coyote (?),36.95665,-122.06421,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 72,11 Dec 22,O,Coyote,36.95680,-122.06422,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 73,11 Dec 22,O,Coyote,36.95695,-122.06438,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 74,11 Dec 22,O,Coyote,36.95695,-122.06438,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 75,11 Dec 22,O,Coyote,36.95674,-122.06438,FG,TRUE,FALSE,11 Jan 23 / SW,
YL 76,11 Dec 22,F,Coyote,36.95665,-122.06442,FG,TRUE,TRUE,11 Jan 23 / SW,
YL 77,23 Jan 23,F,Coyote,36.95736,-122.06519,AGB,TRUE,TRUE,28 Jul 23 / FG,
YL 78,23 Jan 23,O,Coyote,36.95446,-122.06610,SW,TRUE,TRUE,28 Jul 23 / FG,
YL 79,23 Jan 23,O,Coyote,36.95261,-122.06738,AGB,TRUE,TRUE,28 Jul 23 / FG,
YL 80,12 Feb 23,O,Coyote,36.95001,-122.06645,AGB,TRUE,FALSE,28 Jul 23 / FG,
YL 81,12 Feb 23,F,Coyote,26.95217,-122.06587,AGB,TRUE,TRUE,28 Jul 23 / FG,
YL 82,12 Feb 23,O,Coyote,36.95124,-122.06300,SW,TRUE,TRUE,28 Jul 23 / FG,
YL 83,5 May 23,O,Coyote,36.95184,-122.06300,SW,TRUE,FALSE,28 Jul 23 / FG,
YL 84,5 May 23,F,Coyote,36.95354,-122.06328,SW,TRUE,TRUE,28 Jul 23 / FG,
YL 85,5 May 23,O,Coyote,36.95424,-122.06300,SW,TRUE,FALSE,28 Jul 23 / FG,
YL 86,2 June 23,O,Coyote,36.95248,-122.06757,SW,TRUE,FALSE,28 Jul 23 / FG,
YL 87,2 June 23,O,Coyote,36.95042,-122.06261,SW,TRUE,FALSE,28 Jul 23 / FG,
YL 88,2 June 23,O,Bobcat,36.95695,-122.06462,SW,TRUE,FALSE,28 Jul 23 / FG,
YL 89,2 June 23,O,Bobcat,36.95468,-122.06546,KD,TRUE,FALSE,28 Jul 23 / FG,
YL 90,2 June 23,F?,Coyote,36.95465,-122.06546,KD,TRUE,TRUE,28 Jul 23 / FG,
YL 91,2 June 23,F,Coyote,36.95259,-122.06698,KD,TRUE,TRUE,28 Jul 23 / FG,
YL 92,2 June 23,O,Coyote,36.95069,-122.06573,KD,TRUE,FALSE,28 Jul 23 / FG,
MC 1,22 Apr 23,O,Carnivore,39.503579,123.78676,SG,TRUE,FALSE,28 Jul 23 / FG,
MC 2,22 Apr 23,O,Coyote,39.479178,123.802468,FG,TRUE,FALSE,29 Jul 23 / FG,
MC 3,23 Apr 23,F,Coyote?,39.454326,123.810773,FG,TRUE,FALSE,29 Jul 23 / FG,
MC 4,23 Apr 23,O,Coyote?,39.45154,123.812284,FG,TRUE,FALSE,29 Jul 23 / FG,
MC 5,23 Apr 23,O,Carnivore,39.45154,123.812284,FG,TRUE,FALSE,29 Jul 23 / FG,
MC 6,23 Apr 23,O,Carnivore,39.350031,123.813774,FG,TRUE,FALSE,29 Jul 23 / FG,
MC 7,23 Apr 23,O,Coyote,39.350054,123.813787,FG,TRUE,FALSE,29 Jul 23 / FG,
